Producto;Unidad;Planta;costo
CRS-2 E;litros;VIÑA;1500
CRS-2 E;tambor;MEJILLONES;1500
CRS-2 E;tambor;THNO;1500
CRS-2 E;tambor;VIÑA;1500
CRS-2 E;tonelada;MEJILLONES;1500
CRS-2 E;tonelada;THNO;1500
CRS-2 E;tonelada;VIÑA;1500
CSS-1h;litros;ARICA;1500
CSS-1h;litros;MEJILLONES;1500
CSS-1h;litros;THNO;1500
CSS-1h;litros;VIÑA;1500
CSS-1h;tambor;MEJILLONES;1500
CSS-1h;tambor;THNO;1500
CSS-1h;tambor;VIÑA;1500
CSS-1h;tonelada;ARICA;1500
CSS-1h;tonelada;MEJILLONES;1500
CSS-1h;tonelada;THNO;1500
CSS-1h;tonelada;VIÑA;1500
CSS-1h E;tambor;MEJILLONES;1500
CSS-1h E;tambor;THNO;1500
CSS-1h E;tambor;VIÑA;1500
CSS-1h E;tonelada;MEJILLONES;1500
CSS-1h E;tonelada;THNO;1500
CSS-1h E;tonelada;VIÑA;1500
Deery 200 (13,6 kg);caja;VIÑA;1500
Emulpave;tambor;THNO;1500
Emulpave;tambor;VIÑA;1500
Emulpave;tonelada;THNO;1500
Emulpave;tonelada;VIÑA;1500
Emultex Dust 2C;tonelada;VIÑA;1500
Emultex Dust 2C Invierno;tonelada;VIÑA;1500
Flete a granel;tonelada;VIÑA;1500
Flete Falso;tonelada;MEJILLONES;1500
Flete Falso;tonelada;THNO;1500
Flete Falso;tonelada;VIÑA;1500
Flete Falso;tonelada;VIÑA (DASA);1500
Kit gomas uretano;unidad;VIÑA;1500
Latiflex 5078 (16 kg);caja;THNO;1500
Latiflex 5078 (16 kg);caja;VIÑA;1500
MC-30;tambor;MEJILLONES;1500
MC-30;tambor;THNO;1500
MC-30;tambor;VIÑA;1500
MC-30;tonelada;MEJILLONES;1500
MC-30;tonelada;THNO;1500
MC-30;tonelada;VIÑA;1500
Pitch QLSA;tonelada;MEJILLONES;1500
Pitch QLSA;tonelada;THNO;1500
Pitch QLSA;tonelada;VIÑA;1500
Pitch QLSA;tonelada;VIÑA (DASA);1500
QL easy mix - 1;kilogramo;VIÑA;1500
QL Prime;litros;VIÑA;1500
QL Prime;tambor;MEJILLONES;1500
QL Prime;tambor;THNO;1500
QL Prime;tambor;VIÑA;1500
QL Prime;tonelada;MEJILLONES;1500
QL Prime;tonelada;THNO;1500
QL Prime;tonelada;VIÑA;1500
RC-250;tambor;THNO;1500
RC-250;tambor;VIÑA;1500
RC-250;tonelada;THNO;2000
RC-250;tonelada;VIÑA;2000
Sensor nivel Agregado con cable para Macrop.;unidad;VIÑA;2000
Sportcoat - Amarillo;tineta;VIÑA;2000
Sportcoat - Azul;tineta;VIÑA;2000
Sportcoat - Blanco;tineta;VIÑA;2000
Sportcoat - Café;tineta;VIÑA;2000
Sportcoat - Rojo;tineta;VIÑA;2000
Sportcoat - Verde;tineta;VIÑA;2000
SS-1H;tonelada;VIÑA;2000
STAR Micropave QL;tambor;VIÑA;2000
STAR Microseal QL;tambor;VIÑA;2000
Stockpave (20 kg);bolsa;THNO;2000
Stockpave (20 kg);bolsa;VIÑA;2000
Stockpave (20 kg);tambor;VIÑA;2000
